name,price,detail_url
Подвесной светильник Ферум Orange,4990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ferum-orange
Светильник потолочный Ринга Black,3990руб.,https://www.divan.ru/product/svetilnik-potolochnyj-ringa-black
Торшер Бьйорк White,11 990руб.,https://www.divan.ru/product/torsher-bjork-white
Подвесной светильник Тубули-5 Wood,12 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-tubuli-5-wood
Бра Смастен White,4990руб.,https://www.divan.ru/product/bra-smasten-white
Настольная лампа Арвика Wood,5990руб.,https://www.divan.ru/product/nastolnaya-lampa-arvika-wood
Подвесной светильник Инлада Wood,9990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-inlada-wood
Подвесной светильник Намсен Black,10 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-namsen-black
Люстра Ливсден Brown,17 990руб.,https://www.divan.ru/product/lyustra-livsden-brown
Торшер Логмар Silver,17 990руб.,https://www.divan.ru/product/torsher-logmar-silver
Подвесной светильник Гронтри-1 Wood,11 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-grontri-1-wood
Бра Бракетт White,4490руб.,https://www.divan.ru/product/bra-brakett-white
Подвесной светильник Отра Wood,16 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-otra-wood
Подвесной светильник Кронор Orange,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kronor-orange
Светильник потолочный Орхус White,16 990руб.,https://www.divan.ru/product/svetilnik-potolochnyj-orhus-white
Торшер Раффи Round,11 990руб.,https://www.divan.ru/product/torsher-raffi-round
Подвесной светильник Рена Green,4990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-rena-green
Светильник потолочный Ринга White,3990руб.,https://www.divan.ru/product/svetilnik-potolochnyj-ringa-white
Бра Берит Black,5990руб.,https://www.divan.ru/product/bra-berit-black
Подвесной светильник Кронор Black,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kronor-black
Настольная лампа Бьйорк White,3990руб.,https://www.divan.ru/product/nastolnaya-lampa-bjork-white
Подвесной светильник Селау-2 Glass,3690руб.,https://www.divan.ru/product/podvesnoj-svetilnik-selau-2-glass
Подвесной светильник Джамби Rattan,13 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-djambi-rattan
Бра Пинна Black,6990руб.,https://www.divan.ru/product/bra-pinna-black
Подвесной светильник Бьйорк White,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-bjork-white
Торшер Осло Blue,17 990руб.,https://www.divan.ru/product/torsher-oslo-blue
Бра Бьйорк White,2290руб.,https://www.divan.ru/product/bra-bjork-white
Подвесной светильник Арвика Wood,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-arvika-wood
Подвесной светильник Бенфлит Black,6990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-benflit-black
Светильник потолочный Орхус Black,16 990руб.,https://www.divan.ru/product/svetilnik-potolochnyj-orhus-black
Настольная лампа Требен Orange,2990руб.,https://www.divan.ru/product/nastolnaya-lampa-treben-orange
Подвесной светильник Ливсден Brown,4290руб.,https://www.divan.ru/product/podvesnoj-svetilnik-livsden-brown
Подвесной светильник Бейла Black,5990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-bejla-black
Светильник потолочный Лаго White,11 990руб.,https://www.divan.ru/product/svetilnik-potolochnyj-lago-white
Подвесной светильник Чинкве Silver,5990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-chinkve-silver
Торшер Энкель Black,4990руб.,https://www.divan.ru/product/torsher-enkel-black
Люстра Малинг Multi,17 990руб.,https://www.divan.ru/product/lyustra-maling-multi
Подвесной светильник Джамби-1 Rattan,9990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-djambi-1-rattan
Подвесной светильник Селау-1 Glass,4990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-selau-1-glass
Подвесной светильник Ферум Black,3990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ferum-black
Бра Смастен Black,4990руб.,https://www.divan.ru/product/bra-smasten-black
Подвесной светильник Кронор White,7990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kronor-white
Подвесной светильник Тубули Wood,2990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-tubuli-wood
Настольная лампа Требен White,2990руб.,https://www.divan.ru/product/nastolnaya-lampa-treben-white
Подвесной светильник Ферум Grey,3990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-ferum-grey
Подвесной светильник Квина Black,6990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-kvina-black
Подвесной светильник Бейла White,5990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-bejla-white
Подвесной светильник Гронтри Wood,10 990руб.,https://www.divan.ru/product/podvesnoj-svetilnik-grontri-wood
